anio,tabla,pregunta,ambito,TOTAL,NADA,POCO,BASTANTE,MUCHO
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,7.302,18.32,57.562,16.816
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS","La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias",100,20.089,26.966,41.523,11.422
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",Dificultad para evaluar la necesidades de formación de la empresa,100,27.795,54.81,15.374,2.022
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",La falta de cursos de formación adecuados en el mercado,100,23.84,47.173,22.795,6.192
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",El alto coste de los cursos de formación,100,18.147,38.554,31.22,12.079
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores,100,66.327,24.697,7.328,1.649
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,26.143,43.09,27.615,3.153
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,12.229,31.458,40.032,16.28
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",Dificultad para acceder a ayudas o subvenciones públicas,100,20.258,38.406,28.19,13.146
2023,EAL-24,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",Otras razones,100,60.856,29.2,7.392,2.552
2023,EAL-24a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,7.185,17.537,57.657,17.621
2023,EAL-24a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS","La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias",100,20.521,25.985,41.745,11.748
2023,EAL-24a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",Dificultad para evaluar la necesidades de formación de la empresa,100,28.101,54.5,15.367,2.032
2023,EAL-24a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",La falta de cursos de formación adecuados en el mercado,100,23.967,46.456,23.166,6.41
2023,EAL-24a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN QUE SUPUSIERON CIERTOS MOTIVOS",El alto coste de los cursos de formación,100,18.225,38.001,31.225,12.549
