anio,tabla,pregunta,ambito,categoria,TOTAL,DE 5 A 9 TRABAJADORES,DE 10 A 49 TRABAJADORES,DE 50 A 249 TRABAJADORES,DE 250 A 499 TRABAJADORES,MÁS DE 499 TRABAJADORES
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,De dirección,16.34734049117611,15.343618755228231,15.80499328676558,22.430750225685372,25.322391559202813,30.51094890510949
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,De trabajo en equipo,28.49484758731334,29.855894857576516,26.93111711619844,28.578894854373544,34.15396639312231,33.333333333333336
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,De atención al público/ trato a clientes,24.5302665679378,27.3739403399536,22.586209826815548,19.846058820734548,21.570926143024614,27.05596107055961
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,Administrativas de oficina,17.027644082438602,15.670464051329372,18.738421795067897,15.81698104242885,12.817506838608832,13.333333333333334
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,Técnicas específicas del puesto de trabajo,50.83880970011107,48.254094190087706,52.1312394840157,56.94398251532285,55.76397030089879,54.01459854014598
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.20996853017401,11.76729304828514,10.401264467445062,11.911436309212714,15.787416959749905,13.18734793187348
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,En lenguas extranjeras,7.478711588300629,3.941978492027217,7.740614218460545,21.100394355490092,27.471668620554905,27.63990267639903
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,Generales de tecnologías de la información,12.666990620757744,11.324887673879113,12.758544502795765,17.261367415783724,21.492770613520907,25.10948905109489
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,Profesionales de tecnologías de la información,5.3109187955078365,3.8126201954172663,5.996872822447696,8.690074594954151,7.854630715123095,12.749391727493917
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,Básicas de cálculo y/o comunicación oral o escrita,1.2549364432926078,1.0590132549134592,1.1735413586226822,2.537178695300993,2.1101992966002343,2.8223844282238444
2024,EAL-20,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN TAMAÑO DE LA EMPRESA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),total_empresas,Otras,13.934268172281872,12.640892744724338,14.933122588759156,15.66494037154939,14.14615084017194,11.776155717761558
